City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Meulaboh,ID,77.88,light rain,4.14,96.13,Kost Pria
Mishan,CN,55.36,light rain,45.55,131.88,Mishan Hotel
Siniscola,IT,60.28,light rain,40.57,9.69,Hotel Velasole
Moyale,KE,66.36,light rain,3.52,39.06,BISMILLAHI HOTEL
Banda Aceh,ID,79.25,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
New Norfolk,AU,51.01,light rain,-42.78,147.06,The Shingles Riverside Cottages
Peniche,PT,61.0,moderate rain,39.36,-9.38,Hotel Star inn Peniche
Trairi,BR,76.15,light rain,-3.28,-39.27,Pousada Field Lilies - Trairi
Aosta,IT,57.0,moderate rain,45.77,7.42,HOTEL VENERIAZ
Eydhafushi,MV,84.94,moderate rain,5.1,73.07,Soneva Fushi
Pionerskiy,RU,57.2,light rain,54.95,20.23,Baltica Pension
Nikolayevskaya,RU,51.94,light rain,47.61,41.5,
Albina,SR,75.45,light rain,5.5,-54.05,Hudace
Buala,SB,85.51,light rain,-8.14,159.59,Maringe Lagoon Lodge
Te Anau,NZ,50.29,light rain,-45.42,167.72,Kingsgate Hotel Te Anau
Obo,CF,69.8,light rain,5.4,26.49,
Mitsamiouli,KM,80.65,moderate rain,-11.38,43.28,Foyer ADM
Cascais,PT,63.0,light rain,38.7,-9.42,Hotel Vila Galé Cascais
Ugoofaaru,MV,84.72,moderate rain,5.67,73.0,Ungoofaaru Inn
Angoram,PG,82.85,moderate rain,-4.06,144.07,
Vanimo,PG,84.81,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
Bambanglipuro,ID,78.19,light rain,-7.95,110.28,Puri Brata
Gaozhou,CN,81.77,light rain,21.94,110.85,望江楼旅业
Malang,ID,76.26,light rain,-7.98,112.63,Hotel Tugu Malang
Tingo Maria,PE,71.71,light rain,-9.29,-76.01,Hospedaje Paraíso
Canton,CN,82.0,light rain,23.12,113.25,Guangzhou Hotel
Severo-Yeniseyskiy,RU,50.83,light rain,60.37,93.04,Aktolik
Tambura,SS,70.25,light rain,5.6,27.47,Guest hous Tambura
Domoni,KM,77.61,light rain,-12.26,44.53,Loulou
Toamasina,MG,70.56,light rain,-18.17,49.38,Hotel H1
Nata,PA,81.0,light rain,8.33,-80.52,Cabañas Estancia Bayamon
Boda,CF,71.53,moderate rain,4.32,17.47,
Boyolangu,ID,76.59,moderate rain,-8.12,111.89,Yos ega cv
Ciranjang,ID,72.0,light rain,-6.79,107.28,Iip sopandi
Kapit,MY,78.15,light rain,2.02,112.93,Hotel Meligai Kapit
Swanton,US,50.0,moderate rain,41.59,-83.89,Swissaire Estates
Axim,GH,79.07,moderate rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
Mananjary,MG,70.56,moderate rain,-21.22,48.33,Vahiny Lodge
Manokwari,ID,83.7,light rain,-0.87,134.08,Swiss Belhotel Manokwari
Saint-Francois,FR,59.0,light rain,46.42,3.91,Manoir Du Bonheur
Lata,PT,59.0,light rain,40.16,-8.33,Casa Maquia
Shambu,ET,55.72,light rain,9.57,37.1,Wabe Hotel
Kulhudhuffushi,MV,85.35,light rain,6.62,73.07,Haajy Guest House 1
Bahia Honda,CU,76.41,moderate rain,22.9,-83.16,Casa Gualberto - Deysi
Nabire,ID,78.78,light rain,-3.37,135.48,Hotel Nusantara Nabire
Mizan Teferi,ET,63.25,moderate rain,6.98,35.58,Hotel Salayish | ሆቴል ሳላይሽ
Cururupu,BR,75.63,light rain,-1.83,-44.87,Pousada Través'cia
Angoche,MZ,71.62,light rain,-16.23,39.91,Guest House HESADA
Camabatela,AO,64.8,light rain,-8.19,15.38,Pensão E Restaurantes
Sinnamary,GF,78.1,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
Fare,PF,82.74,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
